EmployeeNumber,requisition_open_date,offer_accepted_date,start_date,time_to_fill_days,offer_to_start_lag_days,time_to_hire_days
1,2017-10-28,2017-11-16,2017-12-13,19,27,46
2,2013-03-01,2013-03-23,2013-04-07,22,15,37
4,2023-04-06,2023-05-05,2023-05-22,29,17,46
5,2015-06-28,2015-07-19,2015-08-08,21,20,41
7,2021-06-21,2021-07-21,2021-08-09,30,19,49
8,2016-02-03,2016-02-26,2016-03-07,23,10,33
10,2022-10-26,2022-11-25,2022-12-14,30,19,49
11,2022-04-11,2022-04-26,2022-05-05,15,9,24
12,2014-09-05,2014-10-18,2014-11-02,43,15,58
13,2016-10-19,2016-11-18,2016-12-11,30,23,53
14,2018-06-12,2018-06-26,2018-07-06,14,10,24
15,2013-12-20,2014-01-06,2014-01-23,17,17,34
16,2018-03-03,2018-04-02,2018-04-21,30,19,49
18,2021-03-03,2021-03-23,2021-04-12,20,20,40
19,2019-03-29,2019-04-13,2019-04-29,15,16,31
20,2013-02-06,2013-03-20,2013-04-03,42,14,56
21,2017-05-14,2017-06-19,2017-07-11,36,22,58
22,2022-10-26,2022-11-04,2022-11-29,9,25,34
23,1998-01-12,1998-02-07,1998-03-14,26,35,61
24,2020-06-27,2020-07-13,2020-08-03,16,21,37
26,2019-05-02,2019-06-29,2019-07-17,58,18,76
27,2018-07-18,2018-08-09,2018-09-01,22,23,45
28,2011-08-20,2011-10-18,2011-11-10,59,23,82
30,2023-01-16,2023-01-31,2023-02-11,15,11,26
31,2019-02-26,2019-03-13,2019-04-05,15,23,38
32,2009-02-05,2009-04-29,2009-05-24,83,25,108
33,2013-07-04,2013-07-28,2013-08-21,24,24,48
35,2014-01-27,2014-03-03,2014-03-20,35,17,52
36,2001-04-18,2001-05-29,2001-06-29,41,31,72
38,2021-05-01,2021-07-07,2021-08-06,67,30,97
39,2022-06-23,2022-07-18,2022-08-03,25,16,41
40,2019-08-26,2019-10-09,2019-10-25,44,16,60
41,2013-10-18,2013-11-19,2013-12-12,32,23,55
42,2022-05-30,2022-06-14,2022-06-26,15,12,27
45,2021-01-30,2021-02-08,2021-02-24,9,16,25
46,2018-11-03,2018-12-07,2018-12-22,34,15,49
47,2020-01-17,2020-02-18,2020-03-07,32,18,50
49,2021-02-20,2021-03-05,2021-03-18,13,13,26
51,2022-09-04,2022-09-15,2022-10-05,11,20,31
52,2018-04-12,2018-05-11,2018-05-29,29,18,47
53,2022-10-01,2022-11-03,2022-11-15,33,12,45
54,2022-02-13,2022-04-01,2022-04-13,47,12,59
55,2022-03-17,2022-04-14,2022-05-04,28,20,48
56,2014-07-18,2014-08-20,2014-09-07,33,18,51
57,2011-11-13,2011-12-06,2011-12-22,23,16,39
58,2000-10-16,2000-12-24,2001-01-25,69,32,101
60,2014-06-24,2014-07-19,2014-08-05,25,17,42
61,2022-01-24,2022-02-08,2022-02-23,15,15,30
62,2014-02-22,2014-04-27,2014-05-12,64,15,79
63,2022-02-03,2022-03-22,2022-04-05,47,14,61
64,2022-01-06,2022-03-16,2022-04-12,69,27,96
65,2021-10-01,2021-10-17,2021-11-04,16,18,34
68,2019-06-29,2019-08-07,2019-09-05,39,29,68
70,2019-05-05,2019-06-30,2019-07-29,56,29,85
72,2021-06-03,2021-07-06,2021-07-17,33,11,44
73,2008-09-29,2008-12-10,2008-12-30,72,20,92
74,2014-04-22,2014-06-10,2014-06-29,49,19,68
75,2021-10-01,2021-11-01,2021-11-19,31,18,49
76,2016-02-20,2016-04-02,2016-04-18,42,16,58
77,2016-03-05,2016-04-11,2016-05-10,37,29,66
78,2014-01-11,2014-01-27,2014-02-12,16,16,32
79,2013-02-24,2013-03-29,2013-04-18,33,20,53
80,1996-06-20,1996-08-14,1996-09-03,55,20,75
81,2001-12-02,2001-12-25,2002-01-26,23,32,55
83,2006-04-22,2006-07-17,2006-08-18,86,32,118
84,2018-04-28,2018-08-16,2018-09-18,110,33,143
85,2016-12-08,2017-02-01,2017-02-18,55,17,72
86,2022-07-01,2022-08-18,2022-09-01,48,14,62
88,2020-10-19,2020-11-27,2020-12-18,39,21,60
90,2022-06-18,2022-07-11,2022-07-27,23,16,39
91,2019-01-31,2019-03-02,2019-03-31,30,29,59
94,2018-10-02,2018-10-17,2018-11-06,15,20,35
95,2022-06-15,2022-07-12,2022-07-30,27,18,45
96,2013-09-27,2013-10-30,2013-11-28,33,29,62
97,2022-04-03,2022-04-17,2022-05-09,14,22,36
98,2012-06-04,2012-07-06,2012-07-25,32,19,51
100,2008-08-09,2008-09-05,2008-09-16,27,11,38
101,2023-07-13,2023-10-11,2023-10-25,90,14,104
102,2018-03-30,2018-05-31,2018-06-22,62,22,84
103,2019-03-31,2019-04-25,2019-05-16,25,21,46
104,2012-12-20,2013-01-25,2013-02-05,36,11,47
105,2017-07-05,2017-07-28,2017-08-08,23,11,34
106,2022-09-16,2022-10-21,2022-11-17,35,27,62
107,2010-01-30,2010-02-20,2010-03-17,21,25,46
110,2018-04-19,2018-05-19,2018-05-30,30,11,41
112,2017-03-10,2017-04-11,2017-05-04,32,23,55
113,2023-11-19,2023-12-01,2023-12-11,12,10,22
116,2019-08-05,2019-09-02,2019-09-23,28,21,49
117,2012-02-05,2012-03-14,2012-04-09,38,26,64
118,2014-01-26,2014-02-14,2014-03-17,19,31,50
119,2001-05-20,2001-07-12,2001-08-09,53,28,81
120,2013-01-22,2013-03-05,2013-03-27,42,22,64
121,2012-01-02,2012-02-14,2012-03-13,43,28,71
124,2013-05-27,2013-08-01,2013-08-26,66,25,91
125,2012-01-06,2012-02-03,2012-02-22,28,19,47
126,2019-08-04,2019-09-04,2019-10-02,31,28,59
128,2020-09-09,2020-09-27,2020-10-19,18,22,40
129,2018-03-12,2018-04-13,2018-05-10,32,27,59
131,1986-03-05,1986-04-30,1986-05-27,56,27,83
132,2020-09-04,2020-10-28,2020-11-24,54,27,81
133,2020-02-09,2020-03-08,2020-03-17,28,9,37
134,2022-10-03,2022-10-25,2022-11-03,22,9,31
137,2022-03-03,2022-03-17,2022-03-27,14,10,24
138,2007-11-25,2007-12-23,2008-01-13,28,21,49
139,2022-01-30,2022-03-06,2022-03-30,35,24,59
140,2020-01-21,2020-03-11,2020-04-02,50,22,72
141,2015-01-21,2015-03-17,2015-04-06,55,20,75
142,2017-03-20,2017-04-20,2017-05-17,31,27,58
143,2021-06-16,2021-07-05,2021-07-26,19,21,40
144,2023-03-26,2023-04-13,2023-05-03,18,20,38
145,2010-07-25,2010-09-12,2010-10-05,49,23,72
147,2014-02-19,2014-03-18,2014-04-05,27,18,45
148,2018-04-24,2018-06-11,2018-06-26,48,15,63
